Temperature,Meeting Friends/Family (Indoor) High ,Meeting Friends/Family (Indoor) Moderate ,Meeting Friends/Family (Outdoor) High ,Meeting Friends/Family (Outdoor) Moderate ,Domestic Travel High ,Domestic Travel Moderate ,International Travel High ,International Travel Moderate ,Cafes and Restaurants High ,Cafes and Restaurants Moderate ,Pubs and Bars High ,Pubs and Bars Moderate ,Sports and Leisure High ,Sports and Leisure Moderate ,Hospitals/ Care and Nursing Home Visits High ,Hospitals/ Care and Nursing Home Visits Moderate ,Non-Essential Shops ,School Closure ,Rt<1
11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
13.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
9.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
